Model,Category,Name,Price/Details,Image URL
Hybrid MAX Limited,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6730/907/e3fec243d086c40d00bd3a59f02a3e5e58d493236fb75ce190e6ba55834abe17.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid MAX Limited,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6730/149/c59fb90de13ae904187f9bdd3daeb67edc5db1988fcd21e5600f242ba5eedd35.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Hybrid MAX Limited,Interior,Black Leather and Ultrasuede®,Included,N/A
Hybrid MAX Limited,Interior,Light Gray Leather and Ultrasuede®,Included,N/A
Hybrid MAX Limited,Engine,2.4L 4-Cyl. Turbo Hybrid MAX Engine,Included,N/A
Hybrid MAX Limited,Transmission,Direct Shift 6-Speed Automatic Transmission,Included,N/A
Hybrid MAX Limited,Drivetrain,All-Wheel Drive,Included,N/A
Hybrid MAX Limited,Add-On,Panoramic View Monitor,$600 MSRP,N/A
Hybrid MAX Limited,Add-On,Panoramic Moonroof,"$1,350 MSRP",N/A
Hybrid MAX Platinum,Exterior,Storm Cloud,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/grandhighlanderhybrid/6732/14/935e22ae6869a79a4a072e807a281b38f3e828b59a14d9c7344be22fc8e324c6.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
